Lat,Lon,RRR,Type,Display
60.8,10.6765,NO1,region,1
59.14,7.6652,NO2,region,1
62.6124,9.5292,NO3,region,1
65.5804,13.0112,NO4,region,1
60.8,6.6,NO5,region,1
56.35,9.39,DK1,region,1
55.47,11.79,DK2,region,1
61.9096,24.9048,FIN,region,1
52.1014,12.4,DE4-E,region,1
54.01,9.94,DE4-N,region,1
48.8778,10.0527,DE4-S,region,1
52.1014,8.3,DE4-W,region,1
52.26,5.34,NL,region,1
65.5804,17.9102,SE1,region,1
63.3607,15.855,SE2,region,1
59.45,14.6753,SE3,region,1
56.7153,14.4138,SE4,region,1
52.9814,-1.4132,UK,region,1
52.7,17.9,PL,region,1
50.6766,4.5966,BE,region,1
46.9944,2.8898,FR,region,1
58.86,25.66,EE,region,1
56.98,25.06,LV,region,1
55.42,23.66,LT,region,1
49.914839,15.040809,CZ,region,1
53.06,-7.84,IE,region,0
39.22,-8.28,PT,region,1
40.24,-2.95,ES,region,1
43.67,11.83,IT,region,1
46.89,7.94,CH,region,1
47.9,14.37,AT,region,1
45.98,14.55,SI,region,0
45.48,15.59,HR,region,0
44.61,20.61,RS,region,0
44.12,17.67,BA,region,0
48.65,18.98,SK,region,0
47.01,18.44,HU,region,0
46.11,24.68,RO,region,0
47.07,28.71,MD,region,0
49.89,26.12,UA,region,0
53.61,28.07,BY,region,0
55.27,36.31,RU,region,0
47.12,9.56,LI,region,0
42.55,1.59,AN,region,0
49.73,6.12,LU,region,0
54.352,6.3325,31_DE_OFF_2_Hub_BorWin,hub,0
54.453,7.739,31_DE_OFF_2_Hub_HelWin,hub,0
55.063,7.24,31_DE_OFF_2_Hub_SylWin,hub,0
53.9915,6.660333333,31_DE_OFF_2_Hub_DolWin,hub,0
52.86961366,2.761173437,90_UK_OFF_2_Hub_UKandNL_w,hub,0
52.93131079,3.667689741,NL3_OFF_2_Hub_UKandNL_e,hub,0
54.9107,5.332,31_DE_OFF_2_Hub_NorWin,hub,0
54.7266,6.23735,31_DE_OFF_2_Hub_WeiWin,hub,0
53.98840028,1.458576138,93_UK_OFF_2_Hub_HornSea_w,hub,0
53.8756283,2.23465035,93_UK_OFF_2_Hub_HornSea_e,hub,0
54.96255271,1.801716778,93_UK_OFF_2_Hub_DoggerBank_w,hub,0
55.24222044,2.744123991,93_UK_OFF_2_Hub_DoggerBank_e,hub,0
56.437,3.73,NSY_OFF_2_Hub_NO_w,hub,0
56.75345073,5.097302462,NSY_OFF_2_Hub_NO_c,hub,0
56.95,5.999,NSY_OFF_2_Hub_NO_e,hub,0
55.66384707,7.430202899,DK_w_OFF_2_Hub_DK_hub,hub,0
54.82984062,13.85993929,DE_hub_1,hub,0
55.11984008,12.7799421,DK_hub_1,hub,0
54.8998408,14.29993791,DK_hub_2,hub,0
56.85983896,11.07994503,DK_hub_3,hub,0
59.13984435,22.88990413,EE_hub_1,hub,0
58.16984357,21.26991131,EE_hub_2,hub,0
59.66984286,20.48991049,FI_hub_1,hub,0
60.66984258,20.22990905,FI_hub_2,hub,0
65.0417,23.85,FI_hub_3,hub,0
63.2417,20.5167,FI_hub_4,hub,0
55.92984356,20.32991856,LT_hub_1,hub,0
57.04984363,20.94991458,LV_hub_1,hub,0
57.49984506,23.499906,LV_hub_2,hub,0
54.99984208,17.06992966,PL_hub_1,hub,0
61.89984166,18.69991126,SE_hub_1,hub,0
59.57984249,19.80991287,SE_hub_2,hub,0
55.62984197,17.21992822,SE_hub_3,hub,0
58.51,17.34,SE_hub_4,hub,0
